## Fri Feb 17 08:44:46 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_fpvubl7r/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
bsl7428	224911.27355711	2.93e-50	159.0	2EIDG@1|root,33C4V@2|Bacteria,1N0P4@1224|Proteobacteria,2UC9K@28211|Alphaproteobacteria,3K073@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bll7429	224911.27355712	5.66e-184	511.0	COG0730@1|root,COG0730@2|Bacteria,1RDKW@1224|Proteobacteria,2TQP3@28211|Alphaproteobacteria,3JSUA@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Sulfite exporter TauE/SafE	MA20_05290	-	-	-	-	-	-	-	-	-	-	-	TauE
blr7430	224911.27355713	3.07e-264	724.0	COG0583@1|root,COG0583@2|Bacteria,1NTDD@1224|Proteobacteria,2TTVQ@28211|Alphaproteobacteria,3JSI8@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	Bacterial regulatory helix-turn-helix protein, lysR family	MA20_05295	-	-	ko:K03566	ko02026,map02026	-	-	-	ko00000,ko00001,ko03000	-	-	-	HTH_1,LysR_substrate
blr7431	224911.27355714	0.0	1907.0	COG0556@1|root,COG0556@2|Bacteria,1MUFK@1224|Proteobacteria,2TQSP@28211|Alphaproteobacteria,3JR4I@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage	uvrB	-	-	ko:K03702	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	Helicase_C,ResIII,UVR,UvrB
blr7433	224911.27355716	1.25e-146	412.0	COG3631@1|root,COG3631@2|Bacteria,1R9TX@1224|Proteobacteria,2U1ZV@28211|Alphaproteobacteria,3JRPB@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	SnoaL-like polyketide cyclase	-	-	-	ko:K06893	-	-	-	-	ko00000	-	-	-	SnoaL_2
blr7434	224911.27355717	5.58e-99	287.0	COG3631@1|root,COG3631@2|Bacteria,1RBYP@1224|Proteobacteria,2U5DA@28211|Alphaproteobacteria,3JYF6@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	SnoaL-like domain	MA20_05325	-	-	-	-	-	-	-	-	-	-	-	SnoaL_2
blr7435	224911.27355718	6.55e-272	744.0	2ETDR@1|root,33KXI@2|Bacteria,1N8C5@1224|Proteobacteria,2U178@28211|Alphaproteobacteria,3JSQ5@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr7436	224911.27355719	1.02e-89	263.0	2FCGW@1|root,344KB@2|Bacteria,1RB9V@1224|Proteobacteria,2U6BG@28211|Alphaproteobacteria,3JYBZ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	MA20_05335	-	-	-	-	-	-	-	-	-	-	-	-
bll7437	224911.27355720	9.73e-113	323.0	COG2030@1|root,COG2030@2|Bacteria,1RIBV@1224|Proteobacteria,2U3XU@28211|Alphaproteobacteria,3JR2D@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	I	N-terminal half of MaoC dehydratase	MA20_05345	-	-	-	-	-	-	-	-	-	-	-	MaoC_dehydrat_N,MaoC_dehydratas
bll7438	224911.27355721	3.37e-115	330.0	COG2030@1|root,COG2030@2|Bacteria,1RIBV@1224|Proteobacteria,2U9QR@28211|Alphaproteobacteria,3JY1N@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	I	MaoC like domain	MA20_05350	-	-	-	-	-	-	-	-	-	-	-	MaoC_dehydratas
bll7439	224911.27355722	1.5e-255	701.0	COG0012@1|root,COG0012@2|Bacteria,1MVM4@1224|Proteobacteria,2TRAD@28211|Alphaproteobacteria,3JRUC@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	J	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner	ychF	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0044424,GO:0044464	-	ko:K06942	-	-	-	-	ko00000,ko03009	-	-	-	MMR_HSR1,YchF-GTPase_C
bll7440	224911.27355723	4.06e-146	411.0	COG0193@1|root,COG0193@2|Bacteria,1MX1P@1224|Proteobacteria,2TT6Q@28211|Alphaproteobacteria,3JSPW@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	J	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis	pth	GO:0003674,GO:0003824,GO:0004045,GO:0016787,GO:0016788,GO:0052689,GO:0140098,GO:0140101	3.1.1.29	ko:K01056	-	-	-	-	ko00000,ko01000,ko03012	-	-	-	Pept_tRNA_hydro
bll7441	224911.27355724	1.57e-134	385.0	COG1825@1|root,COG1825@2|Bacteria,1RDH0@1224|Proteobacteria,2U5P0@28211|Alphaproteobacteria,3JSHR@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	J	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance	ctc	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008097,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02897	ko03010,map03010	M00178	-	-	ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L25p,Ribosomal_TL5_C
bsl7442	1038866.KB902779_gene5728	2.8e-49	157.0	COG2960@1|root,COG2960@2|Bacteria,1N725@1224|Proteobacteria,2UFEP@28211|Alphaproteobacteria,3K0BI@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Membrane fusogenic activity	MA20_05375	-	-	ko:K09806	-	-	-	-	ko00000	-	-	-	BMFP
blr7443	224911.27355726	8.4e-178	494.0	COG0412@1|root,COG0412@2|Bacteria,1NRB4@1224|Proteobacteria,2TU91@28211|Alphaproteobacteria,3JUQK@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	Q	Dienelactone hydrolase family	-	-	3.1.1.45	ko:K01061	ko00361,ko00364,ko00623,ko01100,ko01110,ko01120,ko01130,map00361,map00364,map00623,map01100,map01110,map01120,map01130	-	R03893,R05510,R05511,R06835,R06838,R08120,R08121,R09136,R09220,R09222	RC01018,RC01906,RC01907,RC02441,RC02467,RC02468,RC02674,RC02675,RC02686	ko00000,ko00001,ko01000	-	-	-	DLH
blr7444	224911.27355727	5.53e-207	572.0	COG0682@1|root,COG0682@2|Bacteria,1MVE3@1224|Proteobacteria,2TTNS@28211|Alphaproteobacteria,3JQZ7@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins	lgt	-	-	ko:K13292	-	-	-	-	ko00000,ko01000	-	-	-	LGT
blr7445	224911.27355728	8.26e-272	743.0	COG1565@1|root,COG1565@2|Bacteria,1N3CJ@1224|Proteobacteria,2TRHW@28211|Alphaproteobacteria,3JRRQ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Putative S-adenosyl-L-methionine-dependent methyltransferase	MA20_05390	-	2.1.1.79	ko:K00574,ko:K18164	ko04714,map04714	-	-	-	ko00000,ko00001,ko01000,ko03029	-	-	-	Methyltransf_28
blr7446	224911.27355729	4.85e-183	509.0	COG1496@1|root,COG1496@2|Bacteria,1MW2H@1224|Proteobacteria,2TTXU@28211|Alphaproteobacteria,3JQYQ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Belongs to the multicopper oxidase YfiH RL5 family	yfiH	-	-	ko:K05810	-	-	-	-	ko00000,ko01000	-	-	-	Cu-oxidase_4
blr7447	224911.27355730	7.37e-132	375.0	2E5ZA@1|root,330NT@2|Bacteria,1NDA4@1224|Proteobacteria,2TUTP@28211|Alphaproteobacteria,3JWAB@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	MA20_05405	-	-	-	-	-	-	-	-	-	-	-	-
blr7448	224911.27355731	3.78e-225	622.0	COG0462@1|root,COG0462@2|Bacteria,1MW21@1224|Proteobacteria,2TR4Y@28211|Alphaproteobacteria,3JSEU@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	F	Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)	prs	-	2.7.6.1	ko:K00948	ko00030,ko00230,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00230,map01100,map01110,map01120,map01130,map01200,map01230	M00005	R01049	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	Pribosyl_synth,Pribosyltran,Pribosyltran_N
blr7450	224911.27355733	3.15e-259	709.0	COG4307@1|root,COG4307@2|Bacteria,1MXES@1224|Proteobacteria,2U06R@28211|Alphaproteobacteria,3JRXQ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Putative zinc-binding metallo-peptidase	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_Mx
blr7451	224911.27355734	1.22e-250	687.0	COG1181@1|root,COG1181@2|Bacteria,1N4F5@1224|Proteobacteria,2U1M9@28211|Alphaproteobacteria,3JWED@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Belongs to the D-alanine--D-alanine ligase family	-	-	6.3.2.4	ko:K01921	ko00473,ko00550,ko01100,ko01502,map00473,map00550,map01100,map01502	-	R01150	RC00064,RC00141	ko00000,ko00001,ko01000,ko01011	-	-	-	Dala_Dala_lig_C,Methyltransf_25
bll7452	224911.27355735	1.69e-122	351.0	COG0054@1|root,COG0054@2|Bacteria,1RHCZ@1224|Proteobacteria,2U5EC@28211|Alphaproteobacteria,3JVZT@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	H	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin	ribH2	GO:0000906,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006766,GO:0006767,GO:0006771,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009110,GO:0009231,GO:0009987,GO:0016740,GO:0016765,GO:0017144,GO:0018130,GO:0034641,GO:0042364,GO:0042726,GO:0042727,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.5.1.78	ko:K00794	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R04457	RC00960	ko00000,ko00001,ko00002,ko01000	-	-	-	DMRL_synthase
blr7453	224911.27355736	5.89e-131	371.0	COG5465@1|root,COG5465@2|Bacteria,1REC1@1224|Proteobacteria,2U7UP@28211|Alphaproteobacteria,3JTTV@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Putative bacterial sensory transduction regulator	MA20_05485	-	-	-	-	-	-	-	-	-	-	-	YbjN
blr7454	224911.27355737	1.48e-191	533.0	COG0345@1|root,COG0345@2|Bacteria,1R5J1@1224|Proteobacteria,2TTY7@28211|Alphaproteobacteria,3JR3K@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline	proC	GO:0003674,GO:0003824,GO:0004735,GO:0006082,GO:0006520,GO:0006560,GO:0006561,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016491,GO:0016645,GO:0016646,GO:0018130,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.5.1.2	ko:K00286	ko00330,ko01100,ko01110,ko01130,ko01230,map00330,map01100,map01110,map01130,map01230	M00015	R01248,R01251,R03291,R03293	RC00054,RC00083	ko00000,ko00001,ko00002,ko01000	-	-	-	F420_oxidored,P5CR_dimer
bll7455	224911.27355738	2.65e-89	262.0	COG5496@1|root,COG5496@2|Bacteria,1RKFT@1224|Proteobacteria,2U5DE@28211|Alphaproteobacteria,3JY0F@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Thioesterase	MA20_05495	-	-	-	-	-	-	-	-	-	-	-	4HBT
bsl7456	224911.27355739	1.56e-55	173.0	COG1942@1|root,COG1942@2|Bacteria,1MZXR@1224|Proteobacteria,2UG0Q@28211|Alphaproteobacteria,3K18H@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Tautomerase enzyme	MA20_05500	-	5.3.2.6	ko:K01821	ko00362,ko00621,ko00622,ko01100,ko01120,ko01220,map00362,map00621,map00622,map01100,map01120,map01220	M00569	R03966,R05389	RC01040,RC01355	ko00000,ko00001,ko00002,ko01000	-	-	-	Tautomerase
bll7457	224911.27355740	0.0	996.0	COG0124@1|root,COG0124@2|Bacteria,1MV2K@1224|Proteobacteria,2TSTH@28211|Alphaproteobacteria,3JSAY@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	J	histidyl-tRNA aminoacylation	hisS	-	6.1.1.21	ko:K01892	ko00970,map00970	M00359,M00360	R03655	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	HGTP_anticodon,tRNA-synt_His
bll7458	224911.27355741	1.29e-122	349.0	COG3779@1|root,COG3779@2|Bacteria,1R3Q7@1224|Proteobacteria,2UFEG@28211|Alphaproteobacteria,3JV72@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Uncharacterized protein conserved in bacteria (DUF2314)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2314
bll7459	224911.27355742	1.46e-264	724.0	COG0115@1|root,COG0115@2|Bacteria,1MVB0@1224|Proteobacteria,2TR1H@28211|Alphaproteobacteria,3JSXM@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	E	Branched-chain amino acid aminotransferase	ilvE	-	2.6.1.42	ko:K00826	ko00270,ko00280,ko00290,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00270,map00280,map00290,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00036,M00119,M00570	R01090,R01214,R02199,R10991	RC00006,RC00036	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	Aminotran_4
blr7460	224911.27355743	4.4e-138	390.0	COG1846@1|root,COG1846@2|Bacteria,1RIX7@1224|Proteobacteria,2U94M@28211|Alphaproteobacteria,3JVPT@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	helix_turn_helix multiple antibiotic resistance protein	petP	-	-	-	-	-	-	-	-	-	-	-	MarR_2
blr7461	224911.27355744	1.01e-169	474.0	COG0745@1|root,COG0745@2|Bacteria,1MY3D@1224|Proteobacteria,2TSQF@28211|Alphaproteobacteria,3JSI0@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	transcriptional regulator, winged helix family	petR	-	-	ko:K07659	ko02020,ko02026,map02020,map02026	M00445,M00742,M00743	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	Response_reg,Trans_reg_C
blr7462	224911.27355745	0.0	893.0	COG0642@1|root,COG2205@2|Bacteria,1MUAK@1224|Proteobacteria,2TQRE@28211|Alphaproteobacteria,3JR9T@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain	envZ	-	2.7.13.3	ko:K07638	ko02020,ko02026,map02020,map02026	M00445,M00742,M00743	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HAMP,HATPase_c,HisKA
bll7463	224911.27355746	2.14e-122	349.0	29V5H@1|root,30GJ5@2|Bacteria,1PHC8@1224|Proteobacteria,2TUP3@28211|Alphaproteobacteria,3JWIE@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF3617
bsl7464	224911.27355747	5.14e-65	197.0	29A3V@1|root,2ZX51@2|Bacteria,1N1FQ@1224|Proteobacteria,2UDE2@28211|Alphaproteobacteria,3K04X@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	MA20_05540	-	-	-	-	-	-	-	-	-	-	-	-
blr7465	224911.27355748	1.09e-140	396.0	2CSH4@1|root,32SR7@2|Bacteria,1N366@1224|Proteobacteria,2UE8T@28211|Alphaproteobacteria,3JX2G@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
blr7466	224911.27355749	5.05e-171	477.0	COG3719@1|root,COG3719@2|Bacteria,1PTUN@1224|Proteobacteria,2TQUU@28211|Alphaproteobacteria,3JSX9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	J	Belongs to the RNase T2 family	rns	-	3.1.27.1,3.1.27.6	ko:K01166,ko:K01169	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	Ribonuclease_T2
blr7467	224911.27355750	3.21e-208	575.0	COG2961@1|root,COG2961@2|Bacteria,1MWGA@1224|Proteobacteria,2TU5K@28211|Alphaproteobacteria,3JUDU@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Specifically methylates the adenine in position 2030 of 23S rRNA	rlmJ	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0008988,GO:0009451,GO:0009987,GO:0010467,GO:0015976,GO:0016070,GO:0016072,GO:0016433,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0036307,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360	2.1.1.266	ko:K07115	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	RsmJ
bsr7468	1038866.KB902779_gene5751	3.87e-46	148.0	COG1278@1|root,COG1278@2|Bacteria,1N6Q5@1224|Proteobacteria,2UF6W@28211|Alphaproteobacteria,3K03T@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	K	'Cold-shock' DNA-binding domain	MA20_05565	-	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	CSD
bll7469	224911.27355752	3.33e-153	429.0	COG3637@1|root,COG3637@2|Bacteria,1MXV4@1224|Proteobacteria,2U0JD@28211|Alphaproteobacteria,3JTF8@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	M	Outer membrane protein beta-barrel domain	hbp2	GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944	-	ko:K16079	-	-	-	-	ko00000,ko02000	1.B.4.2.1	-	-	OMP_b-brl
blr7470	224911.27355753	0.0	1357.0	COG0322@1|root,COG0322@2|Bacteria,1MV38@1224|Proteobacteria,2TT32@28211|Alphaproteobacteria,3JS2S@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision	uvrC	GO:0005575,GO:0005622,GO:0005623,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0009380,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0031668,GO:0032991,GO:0033554,GO:0044424,GO:0044464,GO:0050896,GO:0051716,GO:0071496,GO:1902494,GO:1905347,GO:1905348,GO:1990391	-	ko:K03703	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	GIY-YIG,HHH_2,HHH_5,UVR,UvrC_HhH_N
blr7471	224911.27355754	1.46e-141	400.0	COG0558@1|root,COG0558@2|Bacteria,1RCZ7@1224|Proteobacteria,2TUI7@28211|Alphaproteobacteria,3JRMH@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	I	Belongs to the CDP-alcohol phosphatidyltransferase class-I family	pgsA	-	2.7.8.41,2.7.8.5	ko:K00995,ko:K08744	ko00564,ko01100,map00564,map01100	-	R01801,R02030	RC00002,RC00017,RC02795	ko00000,ko00001,ko01000	-	-	-	CDP-OH_P_transf
bsr7472	224911.27355755	8.65e-53	166.0	COG1977@1|root,COG1977@2|Bacteria,1N0IE@1224|Proteobacteria,2UF4F@28211|Alphaproteobacteria,3K056@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	H	Involved in sulfur transfer in the conversion of molybdopterin precursor Z to molybdopterin	moaD	-	-	ko:K03636	ko04122,map04122	-	-	-	ko00000,ko00001	-	-	-	ThiS
blr7473	224911.27355756	1.05e-112	323.0	COG0314@1|root,COG0314@2|Bacteria,1RGUX@1224|Proteobacteria,2U73K@28211|Alphaproteobacteria,3JYB8@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	H	MoaE protein	moaE	-	2.8.1.12	ko:K03635	ko00790,ko01100,ko04122,map00790,map01100,map04122	-	R09395	RC02507	ko00000,ko00001,ko01000	-	-	-	MoaE
blr7474	224911.27355757	3.05e-234	644.0	COG2890@1|root,COG2890@2|Bacteria,1MX8Q@1224|Proteobacteria,2TSNS@28211|Alphaproteobacteria,3JS52@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	J	Belongs to the protein N5-glutamine methyltransferase family	prmB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006479,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008276,GO:0008757,GO:0009987,GO:0016740,GO:0016741,GO:0018364,GO:0019538,GO:0032259,GO:0036009,GO:0036211,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0140096,GO:1901564	2.1.1.298	ko:K07320	-	-	R10806	RC00003,RC03279	ko00000,ko01000,ko03009	-	-	-	MTS
blr7475	224911.27355758	3.58e-128	365.0	2B3S7@1|root,31WFU@2|Bacteria,1MWD7@1224|Proteobacteria,2TS1N@28211|Alphaproteobacteria,3JRAX@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Phage_holin_3_6
blr7476	224911.27355759	6.21e-265	726.0	COG1295@1|root,COG1295@2|Bacteria,1MXQA@1224|Proteobacteria,2TSFP@28211|Alphaproteobacteria,3JS43@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Virulence factor BrkB	-	-	-	ko:K07058	-	-	-	-	ko00000	-	-	-	Virul_fac_BrkB
blr7477	224911.27355760	3.27e-314	861.0	COG2200@1|root,COG2200@2|Bacteria,1MU4F@1224|Proteobacteria,2TU9M@28211|Alphaproteobacteria,3JRX2@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	Putative diguanylate phosphodiesterase	MA20_05620	-	-	ko:K13593	ko04112,map04112	-	-	-	ko00000,ko00001	-	-	-	EAL
blr7478	224911.27355761	3.09e-211	583.0	COG0647@1|root,COG0647@2|Bacteria,1MU9Y@1224|Proteobacteria,2TUH0@28211|Alphaproteobacteria,3JRWZ@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	G	Haloacid dehalogenase-like hydrolase	MA20_05625	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_6,Hydrolase_like
bll7479	1038866.KB902779_gene5762	8.28e-87	255.0	COG0745@1|root,COG0745@2|Bacteria,1RDNP@1224|Proteobacteria,2U7BP@28211|Alphaproteobacteria,3JY5W@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	T	Response regulator receiver	QU41_12045	-	-	ko:K03413	ko02020,ko02030,map02020,map02030	M00506	-	-	ko00000,ko00001,ko00002,ko02022,ko02035	-	-	-	Response_reg
blr7480	224911.27355763	9e-276	754.0	COG0196@1|root,COG0196@2|Bacteria,1MV9I@1224|Proteobacteria,2TTUY@28211|Alphaproteobacteria,3JTDM@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	H	Belongs to the ribF family	ribF	-	2.7.1.26,2.7.7.2	ko:K11753	ko00740,ko01100,ko01110,map00740,map01100,map01110	M00125	R00161,R00549	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	FAD_syn,Flavokinase
blr7481	224911.27355764	0.0	2048.0	COG0060@1|root,COG0060@2|Bacteria,1MVBQ@1224|Proteobacteria,2TR3N@28211|Alphaproteobacteria,3JRA9@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)	ileS	-	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1,zf-FPG_IleRS
