,accession,start,end,strand,gene_name,gene_name_2,gene_product,COG,uniprot,operon,regulator
blr5277,BA000040.2,5828119,5828886,+,blr5277,AAV28_RS23170,SDR family oxidoreductase,Lipid transport and metabolism,Q89JK6,Op3318,
blr5278,BA000040.2,5828913,5829944,+,idnD,AAV28_RS23175,L-idonate 5-dehydrogenase,Amino acid transport and metabolism,Q89JK5,Op3318,
blr5280,BA000040.2,5831008,5832390,+,blr5280,AAV28_RS23185,histidine kinase,Signal transduction mechanisms,Q89JK3,Op3320,
blr5281,BA000040.2,5832387,5833049,+,blr5281,AAV28_RS23190,response regulator transcription factor,Signal transduction mechanisms,Q89JK2,Op3320,
blr5283,BA000040.2,5834212,5835003,+,blr5283,AAV28_RS23200,DNA-binding transcriptional regulator,Transcription,Q89JK0,Op3322,
blr5284,BA000040.2,5835080,5836588,+,blr5284,AAV28_RS23205,bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase,Energy production and conversion,Q89JJ9,Op3323,
blr5285,BA000040.2,5836615,5837466,+,blr5285,AAV28_RS23210,fumarylacetoacetate hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q89JJ8,Op3323,
blr5286,BA000040.2,5837513,5838724,+,blr5286,AAV28_RS23215,ABC transporter substrate-binding protein,Amino acid transport and metabolism,Q89JJ7,Op3324,
blr5288,BA000040.2,5839785,5840726,+,blr5288,AAV28_RS23225,IclR family transcriptional regulator,Transcription,,Op3326,
blr5289,BA000040.2,5840763,5841737,+,blr5289,AAV28_RS23230,tripartite tricarboxylate transporter substrate binding protein,Function unknown,Q89JJ4,Op3326,
blr5292,BA000040.2,5842995,5844170,+,blr5292,AAV28_RS23245,serine hydrolase,Defense mechanisms,,Op3328,
blr5295,BA000040.2,5846152,5846994,+,blr5295,AAV28_RS23260,GNAT family N-acetyltransferase,Transcription,Q89JI8,Op3331,
blr5302,BA000040.2,5851212,5852642,+,blr5302,AAV28_RS23300,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,Q89JI1,Op3337,
blr5303,BA000040.2,5852639,5853364,+,blr5303,AAV28_RS23305,ABC transporter ATP-binding protein,Defense mechanisms,Q89JI0,Op3337,
blr5304,BA000040.2,5853361,5854584,+,blr5304,AAV28_RS23310,ABC transporter permease,Defense mechanisms,Q89JH9,Op3337,
blr5305,BA000040.2,5854589,5854954,+,blr5305,AAV28_RS23315,LuxR C-terminal-related transcriptional regulator,Transcription,,Op3338,
blr5306,BA000040.2,5855790,5857706,+,blr5306,AAV28_RS23320,alkaline phosphatase family protein,Inorganic ion transport and metabolism,,Op3339,
blr5308,BA000040.2,5858707,5859366,+,blr5308,AAV28_RS23330,peroxiredoxin,"Post-translational modification, protein turnover, and chaperones",Q89JH5,Op3341,
blr5310,BA000040.2,5861448,5862776,+,blr5310,AAV28_RS23340,DNA photolyase family protein,"Replication, recombination and repair",,Op3343,
blr5311,BA000040.2,5862831,5863145,+,blr5311,AAV28_RS23345,hypothetical protein,No COG annotation,,Op3344,
blr5317,BA000040.2,5867606,5868568,+,blr5317,AAV28_RS23380,AraC family transcriptional regulator,Transcription,Q89JG6,Op3352,
blr5318,BA000040.2,5868868,5869434,+,blr5318,AAV28_RS23385,Arm DNA-binding domain-containing protein,"Replication, recombination and repair",Q89JG5,Op3353,
blr5325,BA000040.2,5874577,5874963,+,blr5325,AAV28_RS23435,VOC family protein,Amino acid transport and metabolism,Q89JF8,Op3359,
blr5327,BA000040.2,5875755,5876132,+,blr5327,AAV28_RS23445,hypothetical protein,Function unknown,,Op3361,
blr5339,BA000040.2,5891146,5892366,+,blr5339,AAV28_RS23505,cytochrome c,Energy production and conversion,Q89JE4,Op3371,
blr5341,BA000040.2,5893250,5893684,+,blr5341,AAV28_RS23515,hypothetical protein,No COG annotation,,Op3373,PhyR
blr5345,BA000040.2,5895387,5896187,+,blr5345,AAV28_RS23535,winged helix-turn-helix domain-containing protein,Transcription,,Op3376,
blr5346,BA000040.2,5896293,5897393,+,blr5346,AAV28_RS23540,alpha/beta hydrolase,Lipid transport and metabolism,,Op3377,
blr5348,BA000040.2,5897873,5898379,+,blr5348,,,No COG annotation,,+,
blr5350,BA000040.2,5898904,5899551,+,blr5350,AAV28_RS23560,glutathione S-transferase family protein,"Post-translational modification, protein turnover, and chaperones",Q89JD3,Op3381,
blr5357,BA000040.2,5905611,5906261,+,blr5357,AAV28_RS23600,DUF4260 domain-containing protein,No COG annotation,Q89JC6,Op3389,
blr5358,BA000040.2,5905096,5905500,+,blr5358,AAV28_RS23605,hypothetical protein,Function unknown,,Op3390,
blr5359,BA000040.2,5906334,5907326,+,blr5359,AAV28_RS23610,dienelactone hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q89JC4,Op3391,
blr5365,BA000040.2,5911192,5911638,+,blr5365,AAV28_RS23635,hypothetical protein,No COG annotation,Q89JB8,Op3395,
blr5369,BA000040.2,5915945,5917780,+,blr5369,AAV28_RS23655,OprO/OprP family phosphate-selective porin,Inorganic ion transport and metabolism,,Op3398,
blr5371,BA000040.2,5918342,5919355,+,blr5371,AAV28_RS23665,zinc-binding alcohol dehydrogenase family protein,Energy production and conversion,Q89JB2,Op3400,
blr5374,BA000040.2,5920755,5921732,+,blr5374,AAV28_RS23680,tripartite tricarboxylate transporter substrate binding protein,Function unknown,,Op3402,RpoN
blr5406,BA000040.2,5941870,5943117,+,blr5406,AAV28_RS23840,FAD-dependent monooxygenase,Energy production and conversion,Q89J78,Op3415,
blr5421,BA000040.2,5964473,5965501,+,blr5421,AAV28_RS23915,SDR family oxidoreductase,Cell wall/membrane/envelope biogenesis,Q89J63,Op3425,
blr5422,BA000040.2,5965586,5967151,+,blr5422,AAV28_RS23920,PfkB family carbohydrate kinase,Lipid transport and metabolism,Q89J62,Op3426,
blr5423,BA000040.2,5967176,5968177,+,blr5423,AAV28_RS23925,SDR family oxidoreductase,Cell wall/membrane/envelope biogenesis,Q89J61,Op3426,
blr5424,BA000040.2,5968174,5968794,+,blr5424,AAV28_RS23930,hypothetical protein,Function unknown,,Op3426,
blr5425,BA000040.2,5968758,5969828,+,blr5425,AAV28_RS23935,aminoglycoside phosphotransferase family protein,Function unknown,,Op3426,
blr5426,BA000040.2,5969803,5970651,+,tktB,AAV28_RS23940,transketolase,Carbohydrate transport and metabolism,Q89J58,Op3427,
blr5427,BA000040.2,5970662,5971621,+,blr5427,AAV28_RS23945,transketolase,Carbohydrate transport and metabolism,Q89J57,Op3427,
blr5428,BA000040.2,5971630,5972736,+,blr5428,AAV28_RS23950,DegT/DnrJ/EryC1/StrS family aminotransferase,Amino acid transport and metabolism,Q89J56,Op3427,
blr5429,BA000040.2,5972726,5973844,+,blr5429,AAV28_RS23955,DegT/DnrJ/EryC1/StrS family aminotransferase,Amino acid transport and metabolism,Q89J55,Op3427,
blr5430,BA000040.2,5973841,5974647,+,blr5430,AAV28_RS23960,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q89J54,Op3427,
blr5431,BA000040.2,5974640,5975032,+,blr5431,AAV28_RS23965,hypothetical protein,No COG annotation,Q89J53,Op3427,
blr5432,BA000040.2,5975058,5975723,+,blr5432,AAV28_RS23970,class I SAM-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",Q89J52,Op3427,
blr5433,BA000040.2,5975701,5976279,+,blr5433,AAV28_RS23975,WbuC family cupin fold metalloprotein,Carbohydrate transport and metabolism,Q89J51,Op3428,
blr5434,BA000040.2,5976597,5977829,+,blr5434,AAV28_RS23980,class I SAM-dependent methyltransferase,Coenzyme transport and metabolism,,Op3429,
blr5435,BA000040.2,5977822,5979027,+,blr5435,AAV28_RS23985,class I SAM-dependent methyltransferase,Coenzyme transport and metabolism,Q89J49,Op3429,
blr5436,BA000040.2,5979031,5980065,+,blr5436,AAV28_RS23990,Gfo/Idh/MocA family oxidoreductase,Function unknown,Q89J48,Op3429,
blr5438,BA000040.2,5981881,5982387,+,blr5438,AAV28_RS24000,hypothetical protein,No COG annotation,,Op3431,
blr5439,BA000040.2,5982395,5982901,+,blr5439,AAV28_RS24005,hypothetical protein,No COG annotation,,Op3431,
blr5440,BA000040.2,5983024,5983788,+,blr5440,AAV28_RS24010,glycosyltransferase family 2 protein,Cell wall/membrane/envelope biogenesis,,Op3432,
blr5441,BA000040.2,5984096,5985337,+,blr5441,AAV28_RS24020,serine hydrolase,Defense mechanisms,,Op3433,
blr5444,BA000040.2,5987196,5987981,+,blr5444,AAV28_RS24035,SDR family oxidoreductase,Lipid transport and metabolism,Q89J40,Op3436,
blr5446,BA000040.2,5990055,5991164,+,blr5446,,,"Intracellular trafficking, secretion, and vesicular transport",,+,
blr5447,BA000040.2,5990914,5992032,+,blr5447,,,"Intracellular trafficking, secretion, and vesicular transport",,+,
blr5448,BA000040.2,5992084,5992806,+,blr5448,,,No COG annotation,,+,
blr5449,BA000040.2,5992874,5994103,+,argE,argE,acetylornithine deacetylase,Amino acid transport and metabolism,,Op3441,
blr5450,BA000040.2,5994189,5994632,+,blr5450,AAV28_RS24065,immunity 8 family protein,Function unknown,,Op3442,
blr5456,BA000040.2,5999117,5999788,+,psrA,AAV28_RS24095,TetR family transcriptional regulator,Transcription,Q89J28,Op3447,PsrA
blr5467,BA000040.2,6010899,6012617,+,blr5467,AAV28_RS24155,TolC family outer membrane protein,Cell wall/membrane/envelope biogenesis,,Op3458,
blr5468,BA000040.2,6012809,6015064,+,blr5468,AAV28_RS24160,type I secretion system permease/ATPase,Defense mechanisms,Q89J16,Op3459,
blr5469,BA000040.2,6015054,6016304,+,blr5469,AAV28_RS24165,HlyD family type I secretion periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,Q89J15,Op3459,
blr5470,BA000040.2,6016521,6017546,+,blr5470,AAV28_RS24170,transglutaminase-like cysteine peptidase,Function unknown,Q89J14,Op3460,
blr5474,BA000040.2,6031941,6032255,+,blr5474,AAV28_RS24195,hypothetical protein,No COG annotation,Q89J10,Op3465,
blr5484,BA000040.2,6041882,6043852,+,blr5484,AAV28_RS24250,4Fe-4S binding protein,Energy production and conversion,Q89J00,Op3470,
blr5489,BA000040.2,6049882,6050598,+,blr5489,AAV28_RS24280,transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,,Op3474,
blr5491,BA000040.2,6051194,6051613,+,blr5491,AAV28_RS24295,YciI family protein,Function unknown,,Op3476,
blr5493,BA000040.2,6052347,6054404,+,uvrD,AAV28_RS24305,ATP-dependent helicase,"Replication, recombination and repair",Q89IZ1,Op3478,
blr5497,BA000040.2,6057643,6058566,+,blr5497,AAV28_RS24325,LysR family transcriptional regulator,Transcription,Q89IY7,Op3480,
blr5498,BA000040.2,6058707,6059738,+,blr5498,AAV28_RS24330,LLM class flavin-dependent oxidoreductase,Energy production and conversion,Q89IY6,Op3481,
blr5499,BA000040.2,6060059,6060985,+,rlmB,rlmB,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,"Translation, ribosomal structure and biogenesis",,Op3482,
blr5502,BA000040.2,6062417,6062869,+,blr5502,AAV28_RS24355,hypothetical protein,No COG annotation,Q89IY2,Op3485,PhyR
blr5512,BA000040.2,6072293,6072835,+,blr5512,AAV28_RS24430,tetratricopeptide repeat protein,Function unknown,Q89IX2,Op3499,
blr5513,BA000040.2,6072881,6074329,+,blr5513,AAV28_RS24435,serine hydrolase,Defense mechanisms,,Op3500,
blr5515,BA000040.2,6075958,6076791,+,blr5515,,,Carbohydrate transport and metabolism,,+,
blr5517,BA000040.2,6077019,6077564,+,blr5517,AAV28_RS24450,response regulator,Signal transduction mechanisms,Q89IW7,Op3503,
blr5518,BA000040.2,6077592,6078170,+,blr5518,AAV28_RS24455,Hpt domain-containing protein,Signal transduction mechanisms,Q89IW6,Op3503,
blr5523,BA000040.2,6082344,6082799,+,blr5523,AAV28_RS24480,iron-sulfur cluster assembly scaffold protein,Energy production and conversion,Q89IW1,Op3507,
blr5525,BA000040.2,6084062,6084400,+,yidD,yidD,membrane protein insertion efficiency factor YidD,Function unknown,Q89IV9,Op3509,PhaR
blr5530,BA000040.2,6087905,6088468,+,blr5530,AAV28_RS24520,XRE family transcriptional regulator,Transcription,Q89IV4,Op3513,
blr5533,BA000040.2,6091373,6092725,+,blr5533,AAV28_RS24535,alpha/beta hydrolase,No COG annotation,,Op3515,
blr5534,BA000040.2,6092792,6093223,+,blr5534,AAV28_RS24540,hypothetical protein,Function unknown,,Op3516,
blr5537,BA000040.2,6094949,6097120,+,thrS,thrS,threonine--tRNA ligase,"Translation, ribosomal structure and biogenesis",,Op3519,
blr5538,BA000040.2,6097282,6099570,+,blr5538,AAV28_RS24560,YadA-like family protein,"Intracellular trafficking, secretion, and vesicular transport",,Op3520,
blr5539,BA000040.2,6099576,6099938,+,blr5539,AAV28_RS24565,hypothetical protein,No COG annotation,,Op3520,
blr5540,BA000040.2,6100022,6100600,+,blr5540,AAV28_RS24570,nitroreductase,Energy production and conversion,,Op3521,PhaR
blr5541,BA000040.2,6100664,6101932,+,blr5541,AAV28_RS24575,serine hydrolase,Defense mechanisms,Q89IU3,Op3522,
blr5544,BA000040.2,6106420,6107013,+,blr5544,,,Energy production and conversion,,+,
blr5545,BA000040.2,6107081,6107395,+,blr5545,,,Energy production and conversion,,+,
blr5546,BA000040.2,6107415,6107825,+,blr5546,,,No COG annotation,,+,
blr5548,BA000040.2,6109034,6109927,+,blr5548,AAV28_RS24605,LysR family transcriptional regulator,Transcription,Q89IT6,Op3528,
blr5550,BA000040.2,6111293,6112471,+,blr5550,AAV28_RS24615,patatin-like phospholipase family protein,Function unknown,,Op3530,
blr5553,BA000040.2,6114661,6115245,+,blr5553,AAV28_RS24630,PAS domain-containing protein,Function unknown,,Op3533,
blr5554,BA000040.2,6115478,6116269,+,blr5554,AAV28_RS24635,Crp/Fnr family transcriptional regulator,Signal transduction mechanisms,,Op3534,
blr5556,BA000040.2,6117543,6117971,+,blr5556,AAV28_RS24645,cupin domain-containing protein,Function unknown,Q89IS8,Op3537,
blr5558,BA000040.2,6118874,6119425,+,blr5558,AAV28_RS24655,GFA family protein,Function unknown,,Op3539,
blr5560,BA000040.2,6120021,6120557,+,blr5560,AAV28_RS24665,GNAT family N-acetyltransferase,Transcription,,Op3541,
blr5561,BA000040.2,6120589,6120984,+,blr5561,AAV28_RS24670,hypothetical protein,No COG annotation,,Op3542,
blr5563,BA000040.2,6123328,6123858,+,blr5563,AAV28_RS24685,hypothetical protein,Function unknown,Q89IS1,Op3544,
blr5564,BA000040.2,6123971,6124324,+,blr5564,AAV28_RS24690,cupin domain-containing protein,Carbohydrate transport and metabolism,Q89IS0,Op3545,
blr5567,BA000040.2,6126603,6127820,+,blr5567,AAV28_RS24705,MFS transporter,Amino acid transport and metabolism,,Op3548,
blr5568,BA000040.2,6127990,6128607,+,blr5568,AAV28_RS24710,PilZ domain-containing protein,Function unknown,,Op3549,
blr5569,BA000040.2,6128908,6129561,+,blr5569,AAV28_RS24715,transglutaminase-like cysteine peptidase,Function unknown,,Op3550,
blr5573,BA000040.2,6132641,6133627,+,blr5573,AAV28_RS24735,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q89IR1,Op3554,
blr5574,BA000040.2,6133646,6134959,+,blr5574,AAV28_RS24740,extracellular solute-binding protein,Amino acid transport and metabolism,,Op3555,
blr5575,BA000040.2,6134964,6135923,+,blr5575,AAV28_RS24745,ABC transporter permease,Amino acid transport and metabolism,Q89IQ9,Op3555,
blr5576,BA000040.2,6135926,6136804,+,blr5576,AAV28_RS24750,ABC transporter permease,Amino acid transport and metabolism,Q89IQ8,Op3555,
blr5577,BA000040.2,6136826,6137557,+,blr5577,AAV28_RS24755,aspartate/glutamate racemase family protein,Amino acid transport and metabolism,Q89IQ7,Op3555,
blr5578,BA000040.2,6137736,6138230,+,blr5578,AAV28_RS24760,hypothetical protein,No COG annotation,Q89IQ6,Op3556,
blr5580,BA000040.2,6138856,6139287,+,blr5580,,,No COG annotation,,+,
blr5583,BA000040.2,6140620,6141327,+,blr5583,AAV28_RS24785,hypothetical protein,No COG annotation,Q89IQ1,Op3561,
blr5584,BA000040.2,6141484,6141903,+,blr5584,AAV28_RS24790,PaaI family thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",,Op3562,
blr5587,BA000040.2,6143449,6144768,+,blr5587,AAV28_RS24805,hypothetical protein,No COG annotation,,Op3565,
blr5591,BA000040.2,6147265,6148467,+,nah,AAV28_RS24825,FAD-dependent monooxygenase,Energy production and conversion,Q89IP3,Op3567,
blr5594,BA000040.2,6150283,6151752,+,blr5594,AAV28_RS24845,multidrug effflux MFS transporter,Amino acid transport and metabolism,,Op3570,PhaR
blr5597,BA000040.2,6155469,6156782,+,blr5597,AAV28_RS24860,M20/M25/M40 family metallo-hydrolase,Amino acid transport and metabolism,,Op3573,
blr5598,BA000040.2,6157037,6157942,+,blr5598,AAV28_RS24865,ABC transporter permease,Amino acid transport and metabolism,,Op3574,
blr5599,BA000040.2,6157962,6158849,+,blr5599,AAV28_RS24870,ABC transporter permease,Amino acid transport and metabolism,Q89IN5,Op3574,
blr5600,BA000040.2,6158977,6160626,+,blr5600,AAV28_RS24875,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q89IN4,Op3575,
blr5601,BA000040.2,6160878,6162383,+,blr5601,AAV28_RS24880,M81 family metallopeptidase,Function unknown,Q89IN3,Op3576,
blr5602,BA000040.2,6162397,6163560,+,blr5602,AAV28_RS24885,M20 family metallopeptidase,Function unknown,Q89IN2,Op3576,
blr5603,BA000040.2,6163563,6164984,+,gatA,AAV28_RS24890,amidase,"Translation, ribosomal structure and biogenesis",Q89IN1,Op3576,
blr5604,BA000040.2,6165133,6166023,+,blr5604,AAV28_RS24895,crotonase/enoyl-CoA hydratase family protein,Lipid transport and metabolism,Q89IN0,Op3577,
blr5608,BA000040.2,6168686,6169708,+,metE,AAV28_RS24915,methionine synthase,Amino acid transport and metabolism,Q89IM6,Op3580,
blr5612,BA000040.2,6171962,6173476,+,blr5612,AAV28_RS24935,circularly permuted type 2 ATP-grasp protein,Function unknown,,Op3583,
blr5613,BA000040.2,6173481,6174425,+,blr5613,AAV28_RS24940,alpha-E domain-containing protein,Function unknown,Q89IM1,Op3583,
blr5614,BA000040.2,6174515,6175396,+,blr5614,AAV28_RS24945,transglutaminase family protein,Amino acid transport and metabolism,,Op3584,
blr5615,BA000040.2,6175545,6176744,+,blr5615,AAV28_RS24950,flavin-dependent monooxygenase,Lipid transport and metabolism,Q89IL9,Op3585,
blr5616,BA000040.2,6176799,6177206,+,blr5616,AAV28_RS24955,carboxymuconolactone decarboxylase family protein,Function unknown,Q89IL8,Op3586,
blr5617,BA000040.2,6177313,6178071,+,blr5617,AAV28_RS24960,proteasome-type protease,"Post-translational modification, protein turnover, and chaperones",Q89IL7,Op3587,
blr5618,BA000040.2,6178097,6178855,+,blr5618,AAV28_RS24965,SDR family oxidoreductase,Function unknown,Q89IL6,Op3587,
blr5621,BA000040.2,6181378,6182628,+,blr5621,AAV28_RS24980,nucleoside:proton symporter,Nucleotide transport and metabolism,Q89IL3,Op3590,
blr5623,BA000040.2,6183524,6185650,+,blr5623,AAV28_RS24990,tetratricopeptide repeat protein,"Post-translational modification, protein turnover, and chaperones",Q89IL1,Op3592,
blr5625,BA000040.2,6186325,6186639,+,groES,AAV28_RS25000,co-chaperone GroES,"Post-translational modification, protein turnover, and chaperones",Q89IK9,Op3594,HrcA
blr5626,BA000040.2,6186682,6188322,+,groL,groL,chaperonin GroEL,"Post-translational modification, protein turnover, and chaperones",Q89IK8,Op985,HrcA
blr5631,BA000040.2,6192507,6193139,+,blr5631,AAV28_RS25040,cysteine hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",,Op3599,
blr5632,BA000040.2,6193152,6193790,+,blr5632,AAV28_RS25045,glutathione binding-like protein,"Post-translational modification, protein turnover, and chaperones",Q89IK2,Op3599,
blr5633,BA000040.2,6193901,6195250,+,blr5633,AAV28_RS25050,caspase family protein,Cell wall/membrane/envelope biogenesis,Q89IK1,Op3600,
blr5634,BA000040.2,6195333,6196157,+,blr5634,AAV28_RS25055,SDR family NAD(P)-dependent oxidoreductase,Lipid transport and metabolism,Q89IK0,Op3601,
blr5636,BA000040.2,6197978,6198526,+,blr5636,AAV28_RS25065,FecR domain-containing protein,Inorganic ion transport and metabolism,,Op3603,
blr5637,BA000040.2,6198583,6200469,+,blr5637,AAV28_RS25070,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,Q89IJ7,Op3604,
blr5641,BA000040.2,6204183,6205019,+,blr5641,AAV28_RS25095,DUF72 domain-containing protein,Function unknown,Q89IJ3,Op3608,
blr5642,BA000040.2,6205029,6205490,+,blr5642,AAV28_RS25100,DUF488 domain-containing protein,Function unknown,Q89IJ2,Op3608,
blr5652,BA000040.2,6215114,6215449,+,blr5652,AAV28_RS25155,metalloregulator ArsR/SmtB family transcription factor,Transcription,Q89II2,Op3615,
blr5653,BA000040.2,6215446,6215904,+,blr5653,AAV28_RS25160,SRPBCC domain-containing protein,Function unknown,Q89II1,Op3615,
blr5654,BA000040.2,6215917,6216330,+,blr5654,AAV28_RS25165,GFA family protein,Function unknown,Q89II0,Op3615,
blr5658,BA000040.2,6218727,6219218,+,blr5658,AAV28_RS25185,avidin/streptavidin family protein,Function unknown,Q89IH6,Op3619,
blr5667,BA000040.2,6226400,6227755,+,pcaB,,,Nucleotide transport and metabolism,,+,
blr5668,BA000040.2,6227828,6228610,+,pcaD,pcaD,3-oxoadipate enol-lactonase,Function unknown,H7C6T8,Op3624,
blr5669,BA000040.2,6228739,6229131,+,pcaC,AAV28_RS25240,carboxymuconolactone decarboxylase family protein,Function unknown,Q89IH0,Op3624,
blr5671,BA000040.2,6230359,6231276,+,blr5671,AAV28_RS25255,branched-chain amino acid ABC transporter permease,Amino acid transport and metabolism,Q89IG8,Op3627,
blr5672,BA000040.2,6231288,6232613,+,livM,livM,high-affinity branched-chain amino acid ABC transporter permease LivM,Amino acid transport and metabolism,,Op3627,
blr5673,BA000040.2,6232610,6233443,+,blr5673,AAV28_RS25265,ATP-binding cassette domain-containing protein,Amino acid transport and metabolism,Q89IG6,Op3627,
blr5674,BA000040.2,6233440,6234180,+,blr5674,AAV28_RS25270,ABC transporter ATP-binding protein,Amino acid transport and metabolism,Q89IG5,Op3627,
blr5675,BA000040.2,6234331,6235449,+,blr5675,AAV28_RS25275,branched-chain amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,Q89IG4,Op3628,
blr5677,BA000040.2,6236154,6238979,+,blr5677,AAV28_RS25285,PAS domain S-box protein,Signal transduction mechanisms,Q89IG2,Op3630,
blr5678,BA000040.2,6239039,6240037,+,blr5678,AAV28_RS25290,P1 family peptidase,Amino acid transport and metabolism,Q89IG1,Op3631,
blr5680,BA000040.2,6241229,6241930,+,rpe,rpe,ribulose-phosphate 3-epimerase,Carbohydrate transport and metabolism,Q89IF9,Op3633,
blr5687,BA000040.2,6247190,6248560,+,blr5687,AAV28_RS25340,histidine kinase,Signal transduction mechanisms,Q89IF2,Op3638,
blr5688,BA000040.2,6248568,6249221,+,blr5688,AAV28_RS25345,response regulator transcription factor,Signal transduction mechanisms,Q89IF1,Op3638,
blr5690,BA000040.2,6250780,6252087,+,purB,purB,adenylosuccinate lyase,Nucleotide transport and metabolism,Q89IE9,Op3641,
blr5691,BA000040.2,6252217,6253389,+,blr5691,AAV28_RS25365,M20 family metallopeptidase,Function unknown,Q89IE8,Op3642,
blr5693,BA000040.2,6255471,6256862,+,blr5693,AAV28_RS25375,extracellular solute-binding protein,Carbohydrate transport and metabolism,,Op3645,
blr5698,BA000040.2,6264555,6265637,+,blr5698,AAV28_RS25400,preprotein translocase subunit SecD,"Intracellular trafficking, secretion, and vesicular transport",Q89IE1,Op3649,
blr5699,BA000040.2,6265798,6266697,+,blr5699,AAV28_RS25405,cyclic nucleotide-binding domain-containing protein,Signal transduction mechanisms,,Op3650,
blr5702,BA000040.2,6268243,6269040,+,murI,murI,glutamate racemase,Cell wall/membrane/envelope biogenesis,Q89ID7,Op3653,
blr5703,BA000040.2,6269102,6269875,+,blr5703,AAV28_RS25425,aldolase/citrate lyase family protein,Carbohydrate transport and metabolism,Q89ID6,Op3654,
blr5704,BA000040.2,6269943,6270326,+,blr5704,AAV28_RS25430,cupin domain-containing protein,Function unknown,Q89ID5,Op3655,
blr5705,BA000040.2,6270432,6271199,+,blr5705,AAV28_RS25435,hypothetical protein,Energy production and conversion,Q89ID4,Op3656,
blr5706,BA000040.2,6271505,6272122,+,rpsD,rpsD,30S ribosomal protein S4,"Translation, ribosomal structure and biogenesis",Q89ID3,Op3657,
blr5707,BA000040.2,6272443,6273525,+,blr5707,AAV28_RS25445,threonine aldolase family protein,Amino acid transport and metabolism,,Op3659,
blr5712,BA000040.2,6277311,6278558,+,egtB,egtB,ergothioneine biosynthesis protein EgtB,Function unknown,,Op3662,
blr5713,BA000040.2,6278576,6279580,+,egtD,egtD,L-histidine N(alpha)-methyltransferase,Function unknown,,Op3663,
blr5716,BA000040.2,6281489,6281848,+,blr5716,AAV28_RS25490,DUF427 domain-containing protein,Function unknown,Q89IC3,Op3665,
blr5718,BA000040.2,6282299,6283489,+,blr5718,AAV28_RS25500,acyltransferase,Lipid transport and metabolism,Q89IC1,Op3667,
blr5720,BA000040.2,6286013,6286483,+,blr5720,AAV28_RS25510,PaaI family thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",,Op3669,
blr5721,BA000040.2,6286559,6287524,+,blr5721,AAV28_RS25515,DMT family transporter,Amino acid transport and metabolism,Q89IB8,Op3670,
blr5724,BA000040.2,6289374,6290048,+,blr5724,,,Inorganic ion transport and metabolism,,+,
blr5727,BA000040.2,6290771,6291511,+,blr5727,,,Inorganic ion transport and metabolism,,+,
blr5730,BA000040.2,6292993,6293316,+,blr5730,AAV28_RS25555,DUF1476 domain-containing protein,Function unknown,Q89IA9,Op3676,
blr5735,BA000040.2,6297407,6299338,+,blr5735,AAV28_RS25580,sigma 54-interacting transcriptional regulator,Transcription,,Op3679,
blr5739,BA000040.2,6302231,6302878,+,blr5739,AAV28_RS25600,TetR/AcrR family transcriptional regulator,Transcription,Q89IA0,Op3682,
blr5741,BA000040.2,6304666,6305445,+,blr5741,AAV28_RS25610,isoprenylcysteine carboxylmethyltransferase family protein,"Post-translational modification, protein turnover, and chaperones",Q89I98,Op3684,
blr5742,BA000040.2,6305442,6306419,+,blr5742,AAV28_RS25615,NADPH:quinone oxidoreductase family protein,Energy production and conversion,Q89I97,Op3684,
blr5743,BA000040.2,6306452,6307204,+,blr5743,AAV28_RS25620,hypothetical protein,Function unknown,Q89I96,Op3684,
blr5744,BA000040.2,6307539,6308459,+,blr5744,AAV28_RS25625,hypothetical protein,No COG annotation,Q89I95,Op3685,
blr5747,BA000040.2,6312685,6313899,+,icdA,AAV28_RS25640,NADP-dependent isocitrate dehydrogenase,Energy production and conversion,Q89I92,Op3688,
blr5748,BA000040.2,6313996,6314496,+,blr5748,AAV28_RS25645,DUF3455 domain-containing protein,Function unknown,Q89I91,Op3689,
blr5751,BA000040.2,6318875,6320023,+,gcvT,gcvT,glycine cleavage system aminomethyltransferase GcvT,Amino acid transport and metabolism,,Op3691,
blr5752,BA000040.2,6320035,6320403,+,gcvH,gcvH,glycine cleavage system protein GcvH,Amino acid transport and metabolism,Q89I87,Op3691,
blr5753,BA000040.2,6320563,6323430,+,gcvP,gcvP,aminomethyl-transferring glycine dehydrogenase,Amino acid transport and metabolism,,Op3691,
blr5765,BA000040.2,6331643,6332422,+,blr5765,,,"Secondary metabolites biosynthesis, transport, and catabolism",,+,
